title,author,year,tradition,key_concepts,short_summary,central_argument,related_books,source
πολιτεία,Πλάτων,1554,Ancient Greek,ideal state; philosopher-kings; justice; noble lie; forms,"Plato's 'πολιτεία' (Politeia or Republic) is a dialogue that proposes an ideal state governed by philosophers. It explores topics like justice, the nature of reality, and the role of education in society.","'Justice in the individual corresponds to the just ordering of the city, and the just ordering of the city corresponds to the just nature in the universe.'",,open_library
Συμπόσιον,Πλάτων,1559,Ancient Greek,agape; eros; anamnesis; psyche; philosophia; arete,"Συμπόσιον (The Symposium) is a philosophical dialogue set in classical Athens where various speakers discuss the concept of love, its nature, causes, and effects on human life.","Love is not just about physical desire but is a divine spirit striving to imitate the unity of the universe, thereby promoting moral excellence in humans.",,open_library
Ἀπολογία Σωκράτους,Πλάτων,1675,Ancient Greek,impiety; divine guidance; corruption; moral principles; apology; philosophy,"Apology of Socrates is a dialogue in which Socrates defends himself against charges of impiety and corruption, asserting his devotion to the divine and moral principles.","Socrates argues that he follows divine guidance in his actions, and therefore cannot be guilty of impiety or corrupting the youth.",,open_library
The Dialogues of Plato / The Seventh Letter,Πλάτων,1952,Ancient Greek,philosophical dialogue; ethics; metaphysics; epistemology; philosophical education; knowledge,"The Dialogues of Plato consist of a series of philosophical conversations between Socrates and various interlocutors, addressing topics such as ethics, metaphysics, and epistemology. The Seventh Letter is a correspondence attributed to Plato that discusses his educational method and the relationship between philosophy and politics.",Plato argues for the importance of philosophical education in The Dialogues and asserts in The Seventh Letter that true knowledge can only be obtained through philosophical dialogue and contemplation.,,open_library
Εὐθύφρων / Κρίτων / Φαίδων / Ἀπολογία Σωκράτους,Πλάτων,1871,Ancient Greek,justice; wisdom; virtue; ignorance; immorality; apology,"Δημοσθένης's speech in defense of Socrates, presented by Plato, recounts Socrates' final days before his execution. It explores themes of justice, virtue, and the nature of wisdom.","'Justice is the highest form of wisdom, while ignorance is not merely unwise but also immoral.'",,open_library
Φαίδων,Πλάτων,1713,Ancient Greek,love; soul; spirit; procreation; philosophy; written word vs oral tradition,"Φαίδων (Plato's Phaedrus) is a dialogue between Socrates and Phaedrus discussing love, the soul, and written word versus oral tradition.",'Love is born of the spirit that pervades the universe and is the driving force behind procreation and philosophy.',,open_library
Plato and Platonism,Walter Pater,1893,Ancient Greek,platonism; ideal forms; allegory of the cave; dualism; eros; philosophy as a spiritual journey,Pater's 'Plato and Platonism' explores the development of Platonic philosophy from its origins in ancient Greece to its influence on later Western thought.,"'Plato is a living force, and a force which has been continually active through all the long history of Western thought.'",,open_library
Τίμαιος,Πλάτων,1520,Ancient Greek,demiurge; ideal forms; cosmos; eternal; perfect realm of ideas,"Τίμαιος (Timaeus) is a philosophical dialogue by Plato that presents a creation myth of the universe and human soul, discussing themes such as cosmology, the nature of reality, and the concept of the Good.","The universe and everything in it were created by a demiurge who fashioned them according to ideal forms, seeking to imitate the eternal and perfect realm of ideas.",,open_library
La Poetica,Aristotle,1479,Ancient Greek,imitation; mimesis; catharsis; poetic genres; aesthetics,"La Poetica is a treatise on poetry and the arts by Aristotle, offering an analysis of poetic structures, literary genres, and their emotional impact on the audience.","'Poetry derives from a natural impulse of imitation, serving as a means to represent action, character, and emotion in a manner that appeals to our sense of beauty.'",,open_library
Πολιτικά (Politiká),Aristotle,1492,Ancient Greek,constitution; civic virtue; social classes; justice; law; political community,"Politiká (Nicomachean Ethics) is a philosophical treatise by Aristotle discussing the nature of government, the ideal state, and the roles of citizens, rulers, and laws in society.","'The best political community is formed by citizens who are like-minded (homophron) and who participate in decisions and offices only to a certain extent', emphasizing moderation, balance, and shared responsibility.",,open_library
Poetics,Aristotle,1536,Ancient Greek,catharsis; tragedy; epic; comedy; poetic structure; mimesis,"Aristotle's 'Poetics' is an ancient treatise on the art of poetry, focusing on tragedy, epic, comedy, and poetic structure.",'Poetics' argues that the purpose of tragic drama is to arouse pity and fear in the audience for the catharsis (purification) of these emotions.,,open_library
Physics,Aristotle,1472,Ancient Greek,four elements; natural place; motion; causality; empirical observation; theoretical reasoning,"Aristotle's 'Physics' explores fundamental principles of nature, motion, place, time, and causality within a framework of empirical observation and theoretical reasoning.","'The heavens and the earth are composed of four elements (earth, water, air, fire) that are in constant motion and have natural places where they rest naturally.'",,open_library
Aristotle's philosophy of mathematics,Hippocrates George Apostle,1952,Ancient Greek,mathematics; abstraction; quantities; magnitudes; physical world; philosophy,"Aristotle's Philosophy of Mathematics explores the Ancient Greek philosopher Aristotle's views on mathematics, its foundations, and its relationship to philosophy and reality. The book discusses Aristotle's belief in mathematics as a tool for understanding physical phenomena.",Aristotle viewed mathematics as an abstraction of quantities and magnitudes found in the physical world.,,open_library
The story of Aristotle's philosophy,Will Durant,1923,Ancient Greek,synthesis; empiricism; metaphysics; ethics; politics; aesthetics,"The Story of Philosophy by Will Durant explores Aristotle's life and works, providing an overview of his significant contributions to various fields including logic, metaphysics, ethics, politics, and aesthetics.","Aristotle's philosophy is a synthesis of Plato's theories and empirical observations, emphasizing the importance of experience in understanding the natural world and human behavior.",,open_library
Hegel's critique of Aristotle's philosophy of mind,Frederick Gustav Weiss,1969,Ancient Greek,active intellect; dialectic; consciousness; mind; philosophy of mind; Aristotle; Hegel,Frederick Gustav Weiss's Hegel's Critique of Aristotle's Philosophy of Mind examines Georg Wilhelm Friedrich Hegel's critique of Aristotle's views on mind and consciousness.,"Hegel argued that Aristotle's concept of the active intellect is incomplete and static, while Hegel's dialectical method offers a more dynamic understanding of mind and consciousness.",,open_library
The discourses of Epictetus,Epictetus,1800,Stoicism,stoicism; ethics; self-control; tranquility; virtue; apatheia,"The Discourses is a collection of philosophical teachings by the Stoic philosopher Epictetus, discussing ethics, self-control, and understanding the difference between what we can and cannot control.",'Understanding the difference between what we can and cannot control is key to achieving tranquility and a virtuous life.',,open_library
Manual,Epictetus,1655,Stoicism,prohairesis; apatheia; logos; cosmos; arete; lekton,"The Manual or Handbook is a collection of Stoic teachings attributed to Epictetus, offering practical wisdom on living a virtuous life, overcoming adversity, and achieving tranquility through self-discipline and acceptance.","One should focus on what one can control (attitudes, actions, and beliefs) and accept with equanimity what cannot be controlled to lead a happy and peaceful life.",,open_library
Art of Living,Epictetus,1995,Stoicism,stoicism; control; will; virtue; serenity; acceptance,"Epictetus' 'Art of Living' offers a practical guide to achieving happiness and tranquility by embracing Stoic philosophy, teaching individuals how to distinguish what they can control from what they cannot.","'We have control only over our own actions and judgments, not external events.'",,open_library
Epictetus,Epictetus,1916,Stoicism,stoicism; prohairesis; apatheia; logos; cosmos; adversity,"Epictetus is a collection of discourses, essays, and letters by the ancient Greek philosopher, presenting his teachings on Stoicism, a philosophy that emphasizes self-control, resilience, and inner calm.","Life's events are beyond our control, but our attitudes towards them aren't; therefore, we should focus on what we can control (our desires, perceptions, and actions) to live a virtuous life.",,open_library
Discourses,Epictetus,1766,Stoicism,stoicism; self-mastery; virtue; prosoche (focused attention); apatheia (emotional equanimity),"Discourses is a collection of lectures by the Stoic philosopher Epictetus, covering topics such as ethical living, self-mastery, and the role of reason in life.","'A person's fate is determined by their own actions and perceptions, not external events.'",,open_library
The moral discourses of Epictetus,Epictetus,1899,Stoicism,stoicism; self-control; duty; will; moral worth; control vs. fate,"The Moral Discourses of Epictetus is a collection of philosophical teachings by the Stoic philosopher, focusing on self-control, duty, and the separation between things within our control and those outside it.","'A person's will determines their moral worth, not events beyond their control.'",,open_library
The Enchiridion,Epictetus,1955,Stoicism,stoicism; fate; self-control; inner peace; adversity; tranquility,"The Enchiridion is a guidebook on Stoic philosophy by Epictetus, emphasizing self-control, acceptance of fate, and inner peace through personal discipline.",Life's events are beyond our control; what we can control is our reaction to these events and our ability to find tranquility in the face of adversity.,,open_library
The Epictetus Club,Jeff Traylor,2004,Stoicism,stoicism; self-control; freedom; virtue; happiness; wisdom,"The Epictetus Club delves into Stoic philosophy by exploring various life lessons and moral teachings attributed to the ancient philosopher Epictetus, as interpreted by modern author Jeff Traylor.","'The primary focus of the book is on understanding and applying Epictetus' teachings to cultivate a life of virtue, happiness, and freedom through self-control, self-discipline, and wisdom.',",,open_library
The Meditations of Marcus Aurelius,Marcus Aurelius,2018,Stoicism,stoicism; virtue; wisdom; reason; cosmos; acceptance,"Meditations is a series of personal writings by Roman Emperor Marcus Aurelius, reflecting on Stoic philosophy to find peace, virtue, and tranquility amidst the challenges of ruling an empire.","Life's events are uncontrollable but our responses can be shaped by virtuous reasoning, leading to inner peace and happiness.",,open_library
Meditaciones,Marcus Aurelius,2012,Stoicism,stoicism; cosmos; virtue; providence; logos; impermanence,"Meditations is a collection of personal writings by Roman Emperor Marcus Aurelius, containing his thoughts on Stoicism, morality, self-discipline, and the universe's order.","Accept what you cannot control, focus on virtuous actions, and cultivate inner tranquility to live a happy and meaningful life despite external circumstances.",,open_library
Meditations by Marcus Aurelius,Marcus Aurelius,2016,Stoicism,stoicism; virtue; acceptance; cosmic order; inner calm; self-discipline,"Meditations is a series of personal writings by Roman Emperor Marcus Aurelius, reflecting on Stoic philosophy to cultivate inner peace and wisdom amidst political and personal turmoil.","Life's events are beyond our control, but we can maintain tranquility and moral integrity by focusing on virtuous actions and accepting the natural order of things.",,open_library
How to Think Like a Roman Emperor,Donald Robertson,2019,Stoicism,stoicism; virtue; moral-philosophy; resilience; self-discipline; wise-decision-making,"How to Think Like a Roman Emperor is a guide that explores Stoic philosophy as practiced by emperors like Marcus Aurelius, providing practical advice on navigating life's challenges using ancient wisdom.",The book argues that adopting the Stoic philosophy can help individuals cultivate emotional resilience and moral integrity to lead a more fulfilled life.,,open_library
The Meditations,Marcus Aurelius,2002,Stoicism,stoicism; virtue; providence; logos; cosmos; acceptance,"Meditations is a series of personal writings by Roman Emperor Marcus Aurelius, reflecting on Stoic philosophy as a means to attain tranquility and find wisdom amidst life's adversities.","One should focus on the things within one's control, accept what cannot be controlled with equanimity, and understand that the universe functions according to natural laws.",,open_library
Marcus Aurelius,Anthony Richard Birley,1966,Stoicism,stoicism; duty; self-control; wisdom; adversity; emperor,"Birley's 'Marcus Aurelius: A Life' is a biography exploring the life and philosophy of Roman Emperor Marcus Aurelius, delving into his adherence to Stoicism.","'Marcus Aurelius' argues that the emperor's life embodied Stoic principles, demonstrating self-control, wisdom, and a commitment to duty even in the face of adversity.",,open_library
Kritik der reinen Vernunft,Immanuel Kant,1781,German Idealism,pure reason; transcendental aesthetics; transcendental logic; synthetic a priori; noumenon; phenomenon,"Kritik der reinen Vernunft, or Critique of Pure Reason, is Immanuel Kant's magnum opus that presents his argument for a synthesis between rationalism and empiricism in metaphysics.",Our intuition (space and time) provides the conditions under which pure reason can cognize objects independently of experience.,,open_library
Kritik der praktischen Vernunft,Immanuel Kant,1788,German Idealism,practical reason; moral duty; categorical imperative; autonomy; heteronomy; freedom,"Kritik der praktischen Vernunft, or Critique of Practical Reason, explores the nature of moral duty and the role of reason in justifying moral principles, building upon Kant's groundbreaking work Critique of Pure Reason.","'Reason alone (without reliance on empirical evidence) can justify moral duties, providing an account of moral autonomy.'",,open_library
Kritik der Urteilskraft,Immanuel Kant,1793,German Idealism,judgment; aesthetic judgment; teleological judgment; disinterested pleasure; purposiveness,"Kritik der Urteilskraft (Critique of Judgment) is a philosophical work where Immanuel Kant examines human judgment in its three facets: aesthetic, teleological, and logical.","'Judgments of taste' are based on the subject's universal feeling of pleasure or displeasure, and the 'purposiveness' of nature can be understood by humans without knowing their specific purpose.",,open_library
A commentary to Kant's Critique of pure reason,Norman Kemp Smith,1918,German Idealism,critique of pure reason; transcendental aesthetic; transcendental logic; phenomena; noumena; synthetic a priori,Norman Kemp Smith's 'A Commentary on Kant's Critique of Pure Reason' is an interpretation and analysis of Immanuel Kant's foundational work in epistemology and metaphysics.,"'Critique of Pure Reason' argues for the separation of knowledge into three domains: that which can be known through experience (phenomena), that which can be known a priori through reason (noumena), and that which remains unknowable (noumenon).",,open_library
A commentary on Kant's Critique of practical reason,Lewis White Beck,1960,German Idealism,critique of practical reason; moral law; categorical imperative; autonomy; heteronomy; duty,"Beck's 'A commentary on Kant's Critique of practical reason' provides a comprehensive analysis and interpretation of Immanuel Kant's second critical work, exploring Kantian ethics, duty, and the rational basis for moral judgment.",'Reason is the source of all moral principles.',,open_library
A commentary on Kant's Critique of judgment,H. W. Cassirer,1938,German Idealism,critique; aesthetics; teleology; pure reason; empirical reason; reason of ends,"Cassirer's 'A Commentary on Kant's Critique of Judgment' offers an in-depth exploration of Immanuel Kant's third Critique, examining Kant's theories on aesthetics, teleology, and the role of judgment in understanding human experience.","'The Critique of Judgment' presents a synthesis of pure reason (understanding), empirical reason (judgment), and practical reason (reason of ends).', as argued by Kant",,open_library
A short commentary on Kant's Critique of pure reason,"Ewing, A. C.",1938,German Idealism,synthetic a priori judgments; pure reason; transcendental logic; noumenon; phenomenon; critique of pure reason,"Ewing's 'A short commentary on Kant's Critique of Pure Reason' is an exposition and critique of Immanuel Kant's seminal work on epistemology, metaphysics, and ethics.","Kant's central argument proposes that synthetic a priori judgments are possible, bridging the gap between empirical knowledge (a posteriori) and rational knowledge (a priori).",,open_library
Kant's Critique of pure reason,Thomas Dewar Weldon,1958,German Idealism,pure reason; a priori; synthesis; transcendental aesthetic; categories of understanding,"Weldon's 'Kant's Critique of Pure Reason' is a comprehensive analysis of Immanuel Kant's seminal work, exploring his theories on pure reason, space, time, and the nature of knowledge.",'Pure reason' is the faculty that synthesizes concepts a priori to form our understanding of the world. This is distinct from empirical reasoning which relies on sensory experience.,,open_library
Hegel,H. S. Harris,1995,German Idealism,dialectic; absolute idealism; geist (spirit); phenomenology; reason; ethical life (sittlichkeit),"Hegel by H.S. Harris offers a comprehensive account of G.W.F. Hegel's life, work, and influence on German Idealism, exploring his dialectical method, absolute idealism, and philosophy of history.","Hegel's philosophy revolves around the concept that human history is a process of developing rationality through conflict and resolution (dialectic), culminating in the Absolute Spirit.",,open_library
Hegel's Phenomenology,"Norman, Richard",1976,German Idealism,self-consciousness; dialectic; geist; absolute knowledge; opposing forces; spirit,"Norman's 'Hegel's Phenomenology' offers a comprehensive analysis of Hegel's seminal work, examining its structure, argumentation, and key concepts. It serves as an essential guide for understanding Hegel's Phenomenology of Spirit.","'Hegel's Phenomenology' argues that self-consciousness is attained through a dialectical process in which opposing forces are reconciled, ultimately leading to absolute knowledge (Geist).",,open_library
Hegel's Phenomenology of spirit,Georg Wilhelm Friedrich Hegel,1994,German Idealism,phenomenology; dialectic; geist (spirit); thesis; antithesis; synthesis; absolute knowledge,"Hegel's Phenomenology of Spirit is a complex philosophical work that traces the development of human consciousness and self-awareness through historical and cultural stages, presenting a dialectic reconciliation of contradictions.","The process of human self-consciousness unfolds as a dialectic between 'thesis', 'antithesis', and synthesis, culminating in Absolute Knowledge.",,open_library
History and truth in Hegel's Phenomenology,Merold Westphal,1979,German Idealism,spirit; self-consciousness; reason; alienation; phenomenology; dialectic,"Merold Westphal's 'History and Truth in Hegel's Phenomenology' explores the relationship between history, self-consciousness, and reason within G.W.F. Hegel's Phenomenology of Spirit.",'The Spirit becomes conscious through its self-alienation and recovery.',,open_library
Hegel's 'Phenomenology of Spirit',Larry Krasnoff,2008,German Idealism,consciousness; dialectic; spirit (geist); experience; self-realization; rationality,"Krasnoff's 'Hegel's Phenomenology of Spirit' provides an accessible interpretation of Hegel's seminal work, exploring the dialectical process by which consciousness evolves and self-realizes through conflicting experiences.","'Spirit' (Geist) unfolds dialectically, transcending immediate, contradictory experience to achieve a higher, more rational form of understanding.",,open_library
Hegel's Phenomenology of spirit,Dean Moyar,2008,German Idealism,phenomenology; self-consciousness; absoluteness; dialectic; geist; lordship-bondage,"Moyar's 'Hegel's Phenomenology of Spirit' provides a comprehensive analysis of G.W.F. Hegel's seminal work, exploring the dialectical development of self-consciousness and the unfolding of Absolute Spirit.",'The Phenomenology of Spirit' argues that the historical evolution of human consciousness culminates in the realization of absolute knowledge through a series of conflicting ideas and syntheses.,,open_library
The Blackwell guide to Hegel's Phenomenology of spirit,Kenneth R. Westphal,2009,German Idealism,phenomenology; spirit; dialectic; consciousness; self-consciousness; absolute spirit,"The Blackwell guide offers a comprehensive analysis of Hegel's Phenomenology of Spirit, explaining its structure, arguments, and historical context.","'Phenomenology of Spirit' argues that consciousness and self-consciousness develop through a series of dialectical encounters, leading to the realization of absolute spirit.",,open_library
Hegel's Phenomenology and Foucault's Genealogy,Evangelia Sembou,2016,German Idealism,dialectic; genealogy; knowledge; power; historical conditions; absolute spirit; discursive practices,"Evangelia Sembou's 'Hegel's Phenomenology and Foucault's Genealogy' compares the dialectical method of German Idealism, as presented by Hegel in his Phenomenology, with Foucault's genealogical approach. It discusses their similarities, differences, and potential synergies.","'Both Hegel's dialectic and Foucault's genealogy aim to uncover the historical and social conditions that shape knowledge and power; however, they differ in their emphasis on transformation versus critique, and absolute spirit versus discursive practices.'",,open_library
Jenseits von Gut und Böse,Friedrich Nietzsche,1885,Existentialism,perspectivism; will to power; eternal recurrence; master-slave morality; nihilism,"Jenseits von Gut und Böse (Beyond Good and Evil) critiques morality, religion, and philosophy, advocating for individual self-cultivation, self-overcoming, and the rejection of traditional values.","The moral and religious values upheld by society are a product of human ignorance and fear, rather than objective truth, and should be questioned and transcended.",,open_library
Also sprach Zarathustra,Friedrich Nietzsche,1883,Existentialism,will-to-power; eternal-recurrence; superman; nihilism; dionysian-apollonian,"Also sprach Zarathustra (Thus Spoke Zarathustra) is a philosophical novel exploring themes of self-cultivation, the individual's search for meaning, and the overcoming of nihilism.","The central argument emphasizes the necessity of individuals to embrace their own will to power, become their own creators, and overcome society's moral and cultural limitations in order to achieve self-mastery.",,open_library
Der Antichrist,Friedrich Nietzsche,1895,Existentialism,will-to-power; slave morality; eternal recurrence; nihilism; apotheosis of the intellect; death of God,"Der Antichrist is a polemical critique by Nietzsche against Christianity, its morality, and its influence on Western thought.",The central argument of Der Antichrist is that Christianity is a slave morality that denigrates the will to power and undermines the health and strength of individuals and cultures.,,open_library
When Nietzsche Wept,Irvin D. Yalom,1992,Existentialism,existentialism; psychology; madness; philosophical crisis; human condition; creativity,"When Nietzsche Wept is a fictional exploration of the psychological struggles of German philosopher Friedrich Nietzsche, as he confronts a mental breakdown and encounters a psychiatrist who helps him deal with his suffering.","The central argument is that existential crises, emotional turmoil, and even madness can be found in the lives of great philosophers, such as Nietzsche, and may have profound implications for their work.",,open_library
Die Geburt der Tragödie,Friedrich Nietzsche,1872,Existentialism,apollonian; dionysian; tragic chorus; aesthetic experience; spiritual health; european cultural history,"In Die Geburt der Tragödie (The Birth of Tragedy), Friedrich Nietzsche explores the evolution and significance of Greek tragedy, its dichotomy between Apollonian and Dionysian forces, and their influence on Western culture.",The integration of the conflicting forces of Apollonian reason and Dionysian ecstasy in ancient Greek tragedy leads to a balanced and fulfilling aesthetic experience that promotes spiritual health.,,open_library
Zur Genealogie der Moral,Friedrich Nietzsche,1887,Existentialism,slave morality; master morality; ressentiment; good and evil; will to power; ascetic ideal,"Zur Genealogie der Moral (On the Genealogy of Morals) is a critique of moral norms and values, arguing that they have evolved from power dynamics and social hierarchies.","Moral norms originated as tools for the oppressed to control the powerful, and have become internalized by society as universal truths.",,open_library
Nietzsche et la philosophie,Gilles Deleuze,1962,Existentialism,will_to_power; eternal_recurrence; nihilism; ubermensch; amor_fati,"Gilles Deleuze's 'Nietzsche et la philosophie' is a comprehensive examination of Friedrich Nietzsche's philosophy, exploring themes such as eternal recurrence, will to power, nihilism, and the Übermensch.",'Will to Power' serves as the fundamental concept that underpins all aspects of Nietzsche's philosophy according to Deleuze.,,open_library
The philosophy of Nietzsche,Friedrich Nietzsche,1900,Existentialism,will-to-power; eternal-recurrence; master-slave-moralities; perspectivism; ubermensch; amor-fati,"Exploration of existential themes, such as individual will, moral values, and the death of God, through a collection of works by Friedrich Nietzsche, including 'Thus Spoke Zarathustra', 'Beyond Good and Evil', and 'On the Genealogy of Morals'.",The rejection of traditional moral values and religious beliefs; the affirmation of individual will to power as the driving force behind human behavior.,,open_library
Sein und Zeit,Martin Heidegger,1927,Existentialism,dasein; being; time; being-towards-death; authenticity; inauthenticity,"Sein und Zeit ('Being and Time') by Martin Heidegger is a foundational work of existentialist philosophy, exploring the nature of being, time, and human existence, particularly focusing on Dasein (human being) and its understanding of being.","'Dasein's primary concern is with its own being, and this involves an understanding of 'being-towards-death', which defines our existence as finite and temporal.'",,open_library
Martin Heidegger,George Steiner,1978,Existentialism,existence; essence; being; time; dasein; authenticity,"George Steiner's 'Martin Heidegger' is a biographical and philosophical analysis of the life and works of German philosopher Martin Heidegger, focusing on his key contributions to Existentialism, particularly Being and Time.",'Existence precedes essence': Heidegger's core idea that individual beings determine their own identity rather than being predetermined by social or societal norms,,open_library
Nietzsche,Martin Heidegger,1961,Existentialism,will-to-power; eternal-recurrence; death-of-god; beeing; truth; nihilism,"Heidegger's 'Nietzsche' is an interpretation of Nietzsche's philosophy, exploring his views on the will to power, eternal recurrence, and the death of God.","'Nietzsche' argues that Nietzsche's philosophy centers around a rejection of metaphysics and traditional values, leading to a new understanding of being and truth.",,open_library
Dr. Heidegger's Experiment and Other Stories,Nathaniel Hawthorne,1902,Existentialism,existentialism; self-awareness; direct experience; individual consciousness; subjective truth; reality; knowledge,"A collection of five interconnected short stories that explore existential themes, including the search for meaning, self-awareness, and the nature of reality.","'Dr. Heidegger's Experiment' argues that true knowledge comes from direct experience rather than abstract reasoning, a nod to Existentialism's emphasis on individual consciousness and subjective truth.",,open_library
Gelassenheit,Martin Heidegger,1959,Existentialism,gelassenheit; being; technology; nature; attitude; releasement,"Gelassenheit is a lecture by Martin Heidegger discussing the concept of 'releasement to things,' emphasizing our relationship with nature and understanding of being in the face of technology.","'Gelassenheit' refers to a humble, receptive attitude towards beings and being itself, counteracting the dominating and manipulative tendencies of modern technology.",,open_library
Unterwegs zur Sprache,Martin Heidegger,1959,Existentialism,being; language; truth; hermeneutics; unconcealment; revelation,"Underwegs zur Sprache (On the Way to Language) is a philosophical exploration by Martin Heidegger on the nature of language, its relationship with being, and its role in revealing truth.",Language is not merely a tool for communication but an inherent part of being that enables us to understand and engage with the world.,,open_library
Was heisst Denken?,Martin Heidegger,1954,Existentialism,thinking; essence; being; authenticity; logos; hermeneutics,"In 'Was heisst Denken?', Martin Heidegger explores and critiques Western philosophy's understanding of thinking, arguing for a more authentic and original mode of thought.",'True thinking' is distinct from logical or abstract reasoning; it reveals the essence of beings and opens up possibilities for being.,,open_library
"The question concerning technology, and other essays",Martin Heidegger,1977,Existentialism,enframing (Gestell); authenticity; presence; technology; Dasein; the essence of technology,"Explores the nature of technology and its impact on human existence, arguing that it is not merely a tool but fundamentally shapes our relationship with the world.","Technology, as enframing (Gestell), governs and restricts human interaction with the world, leading to a loss of authenticity and presence.",,open_library
La nausée,Jean-Paul Sartre,1938,Existentialism,existence precedes essence; authenticity; bad faith; otherness; anguish; nihilism,"La Nausée (Nausea) is a semi-autobiographical novel exploring the existential crisis of a young philosophy student, Antoine Roquentin, who encounters an inexplicable feeling of disgust towards everything around him, leading to his quest for meaning and authenticity.","'Existence precedes essence': our identities are not predetermined but self-created, and the fear of non-being (nausea) arises when we resist this responsibility of creating ourselves.",,open_library
Existentialism Is a Humanism,Jean-Paul Sartre,2007,Existentialism,existence precedes essence; bad faith; authenticity; freedom; responsibility; humanism,"Existentialism Is a Humanism is a philosophical essay by Jean-Paul Sartre that presents his version of existentialism as a humanism, emphasizing individual freedom, responsibility, and existence preceding essence.","'Existence precedes essence' - individuals define themselves through their actions, choices, and freedom.",,open_library
Sartre's existential biographies,Michael Scriven,1983,Existentialism,existentialism; personal choice; responsibility; freedom; identity; individuality,"Sartre's Existential Biographies is a study of Jean-Paul Sartre's philosophical biographies, examining his approach to understanding individuals through their personal choices and circumstances.",The book argues that Sartre's existential biographies demonstrate the inherent freedom and responsibility of human beings in shaping their own lives and identities.,,open_library
Sartre's Existential Psychoanalysis,Mary L. Edwards,2022,Existentialism,existentialism; human existence; individual freedom; responsibility; psychoanalytic practice; self-determination,"Sartre's Existential Psychoanalysis explores Jean-Paul Sartre's theories on human existence as applied to psychoanalytic practice, arguing for a new method of therapy that emphasizes individual freedom and responsibility.",'The goal of existential psychoanalysis is to help individuals embrace their freedom and take full responsibility for shaping their own lives.',,open_library
