title,author,year,tradition,key_concepts,short_summary,central_argument,related_books,source
πολιτεία,Πλάτων,1554,Ancient Greek,justice; political ethics,A philosophical work by Πλάτων (1554).,,,open_library
Συμπόσιον,Πλάτων,1559,Ancient Greek,soul; theory of knowledge,A philosophical work by Πλάτων (1559).,,,open_library
Ἀπολογία Σωκράτους,Πλάτων,1675,Ancient Greek,"language and languages, study and teaching",A philosophical work by Πλάτων (1675).,,,open_library
The Dialogues of Plato / The Seventh Letter,Πλάτων,1952,Ancient Greek,ethics; language and languages,A philosophical work by Πλάτων (1952).,,,open_library
Εὐθύφρων / Κρίτων / Φαίδων / Ἀπολογία Σωκράτους,Πλάτων,1871,Ancient Greek,"body, mind & spirit; metaphysics",A philosophical work by Πλάτων (1871).,,,open_library
Φαίδων,Πλάτων,1713,Ancient Greek,soul,A philosophical work by Πλάτων (1713).,,,open_library
Plato and Platonism,Walter Pater,1893,Ancient Greek,philosophy,A philosophical work by Walter Pater (1893).,,,open_library
Τίμαιος,Πλάτων,1520,Ancient Greek,metaphysics; nature,A philosophical work by Πλάτων (1520).,,,open_library
La Poetica,Aristotle,1479,Ancient Greek,"metaphysics; ethics, greece; athens (greece), politics and government",A philosophical work by Aristotle (1479).,,,open_library
Πολιτικά (Politiká),Aristotle,1492,Ancient Greek,politics and government; greek language materials,A philosophical work by Aristotle (1492).,,,open_library
Poetics,Aristotle,1536,Ancient Greek,greek language,A philosophical work by Aristotle (1536).,,,open_library
Physics,Aristotle,1472,Ancient Greek,philosophy of nature,A philosophical work by Aristotle (1472).,,,open_library
Aristotle's philosophy of mathematics,Hippocrates George Apostle,1952,Ancient Greek,philosophy,A philosophical work by Hippocrates George Apostle (1952).,,,open_library
The story of Aristotle's philosophy,Will Durant,1923,Ancient Greek,philosophy,A philosophical work by Will Durant (1923).,,,open_library
Hegel's critique of Aristotle's philosophy of mind,Frederick Gustav Weiss,1969,Ancient Greek,philosophy of mind; mind and body,A philosophical work by Frederick Gustav Weiss (1969).,,,open_library
The discourses of Epictetus,Epictetus,1800,Stoicism,philosophy,A philosophical work by Epictetus (1800).,,,open_library
Manual,Epictetus,1655,Stoicism,ancient ethics; ethics,A philosophical work by Epictetus (1655).,,,open_library
Art of Living,Epictetus,1995,Stoicism,ancient ethics; ethics,A philosophical work by Epictetus (1995).,,,open_library
Epictetus,Epictetus,1916,Stoicism,philosophy,A philosophical work by Epictetus (1916).,,,open_library
Discourses,Epictetus,1766,Stoicism,"ethics; ethics, ancient",A philosophical work by Epictetus (1766).,,,open_library
The moral discourses of Epictetus,Epictetus,1899,Stoicism,ethics,A philosophical work by Epictetus (1899).,,,open_library
The Enchiridion,Epictetus,1955,Stoicism,"ethics, ancient",A philosophical work by Epictetus (1955).,,,open_library
The Epictetus Club,Jeff Traylor,2004,Stoicism,philosophy,A philosophical work by Jeff Traylor (2004).,,,open_library
The Meditations of Marcus Aurelius,Marcus Aurelius,2018,Stoicism,philosophy,A philosophical work by Marcus Aurelius (2018).,,,open_library
Meditaciones,Marcus Aurelius,2012,Stoicism,philosophy,A philosophical work by Marcus Aurelius (2012).,,,open_library
Meditations by Marcus Aurelius,Marcus Aurelius,2016,Stoicism,philosophy,A philosophical work by Marcus Aurelius (2016).,,,open_library
How to Think Like a Roman Emperor,Donald Robertson,2019,Stoicism,philosophy,A philosophical work by Donald Robertson (2019).,,,open_library
The Meditations,Marcus Aurelius,2002,Stoicism,ethics,A philosophical work by Marcus Aurelius (2002).,,,open_library
Marcus Aurelius,Anthony Richard Birley,1966,Stoicism,philosophy,A philosophical work by Anthony Richard Birley (1966).,,,open_library
Kritik der reinen Vernunft,Immanuel Kant,1781,German Idealism,"reason; theory of knowledge; sociology of knowledge; knowledge; knowledge, theory of",A philosophical work by Immanuel Kant (1781).,,,open_library
Kritik der praktischen Vernunft,Immanuel Kant,1788,German Idealism,ethics; reason; practical reason; theory of knowledge; modern ethics,A philosophical work by Immanuel Kant (1788).,,,open_library
Kritik der Urteilskraft,Immanuel Kant,1793,German Idealism,judgment (logic); judgement (logic); epistemology,A philosophical work by Immanuel Kant (1793).,,,open_library
A commentary to Kant's Critique of pure reason,Norman Kemp Smith,1918,German Idealism,reasoning,A philosophical work by Norman Kemp Smith (1918).,,,open_library
A commentary on Kant's Critique of practical reason,Lewis White Beck,1960,German Idealism,philosophy,A philosophical work by Lewis White Beck (1960).,,,open_library
A commentary on Kant's Critique of judgment,H. W. Cassirer,1938,German Idealism,philosophy,A philosophical work by H. W. Cassirer (1938).,,,open_library
A short commentary on Kant's Critique of pure reason,"Ewing, A. C.",1938,German Idealism,"knowledge, theory of; reason; theory of knowledge","A philosophical work by Ewing, A. C. (1938).",,,open_library
Kant's Critique of pure reason,Thomas Dewar Weldon,1958,German Idealism,theory of knowledge; reason,A philosophical work by Thomas Dewar Weldon (1958).,,,open_library
Hegel,H. S. Harris,1995,German Idealism,philosophy,A philosophical work by H. S. Harris (1995).,,,open_library
Hegel's Phenomenology,"Norman, Richard",1976,German Idealism,"consciousness; knowledge, theory of; theory of knowledge; truth","A philosophical work by Norman, Richard (1976).",,,open_library
Hegel's Phenomenology of spirit,Georg Wilhelm Friedrich Hegel,1994,German Idealism,"theory of knowledge; consciousness; truth; knowledge, theory of",A philosophical work by Georg Wilhelm Friedrich Hegel (1994).,,,open_library
History and truth in Hegel's Phenomenology,Merold Westphal,1979,German Idealism,"consciousness; knowledge, theory of; theory of knowledge; truth",A philosophical work by Merold Westphal (1979).,,,open_library
Hegel's 'Phenomenology of Spirit',Larry Krasnoff,2008,German Idealism,philosophy,A philosophical work by Larry Krasnoff (2008).,,,open_library
Hegel's Phenomenology of spirit,Dean Moyar,2008,German Idealism,consciousness; truth,A philosophical work by Dean Moyar (2008).,,,open_library
The Blackwell guide to Hegel's Phenomenology of spirit,Kenneth R. Westphal,2009,German Idealism,consciousness; truth,A philosophical work by Kenneth R. Westphal (2009).,,,open_library
Hegel's Phenomenology and Foucault's Genealogy,Evangelia Sembou,2016,German Idealism,philosophy,A philosophical work by Evangelia Sembou (2016).,,,open_library
Jenseits von Gut und Böse,Friedrich Nietzsche,1885,Existentialism,ethics; ethics (philosophy),A philosophical work by Friedrich Nietzsche (1885).,,,open_library
Also sprach Zarathustra,Friedrich Nietzsche,1883,Existentialism,"german language; german language, conversation and phrase books",A philosophical work by Friedrich Nietzsche (1883).,,,open_library
Der Antichrist,Friedrich Nietzsche,1895,Existentialism,ethics,A philosophical work by Friedrich Nietzsche (1895).,,,open_library
When Nietzsche Wept,Irvin D. Yalom,1992,Existentialism,"fiction, psychological",A philosophical work by Irvin D. Yalom (1992).,,,open_library
Die Geburt der Tragödie,Friedrich Nietzsche,1872,Existentialism,ethics,A philosophical work by Friedrich Nietzsche (1872).,,,open_library
Zur Genealogie der Moral,Friedrich Nietzsche,1887,Existentialism,ethics; ethics & moral philosophy; ethics (philosophy),A philosophical work by Friedrich Nietzsche (1887).,,,open_library
Nietzsche et la philosophie,Gilles Deleuze,1962,Existentialism,philosophy,A philosophical work by Gilles Deleuze (1962).,,,open_library
The philosophy of Nietzsche,Friedrich Nietzsche,1900,Existentialism,philosophy,A philosophical work by Friedrich Nietzsche (1900).,,,open_library
Sein und Zeit,Martin Heidegger,1927,Existentialism,ontology; metaphysics; ontology (metaphysics),A philosophical work by Martin Heidegger (1927).,,,open_library
Martin Heidegger,George Steiner,1978,Existentialism,philosophy,A philosophical work by George Steiner (1978).,,,open_library
Nietzsche,Martin Heidegger,1961,Existentialism,metaphysics,A philosophical work by Martin Heidegger (1961).,,,open_library
Dr. Heidegger's Experiment and Other Stories,Nathaniel Hawthorne,1902,Existentialism,philosophy,A philosophical work by Nathaniel Hawthorne (1902).,,,open_library
Gelassenheit,Martin Heidegger,1959,Existentialism,ontology,A philosophical work by Martin Heidegger (1959).,,,open_library
Unterwegs zur Sprache,Martin Heidegger,1959,Existentialism,language and languages; language and languages -- philosophy; language; language development,A philosophical work by Martin Heidegger (1959).,,,open_library
Was heisst Denken?,Martin Heidegger,1954,Existentialism,philosophy,A philosophical work by Martin Heidegger (1954).,,,open_library
"The question concerning technology, and other essays",Martin Heidegger,1977,Existentialism,ontology,A philosophical work by Martin Heidegger (1977).,,,open_library
La nausée,Jean-Paul Sartre,1938,Existentialism,philosophy,A philosophical work by Jean-Paul Sartre (1938).,,,open_library
Existentialism Is a Humanism,Jean-Paul Sartre,2007,Existentialism,philosophy,A philosophical work by Jean-Paul Sartre (2007).,,,open_library
Sartre's existential biographies,Michael Scriven,1983,Existentialism,knowledge and learning,A philosophical work by Michael Scriven (1983).,,,open_library
Sartre's Existential Psychoanalysis,Mary L. Edwards,2022,Existentialism,philosophy,A philosophical work by Mary L. Edwards (2022).,,,open_library
L'être et le néant,Jean-Paul Sartre,1943,Existentialism,ontology,A philosophical work by Jean-Paul Sartre (1943).,,,open_library
Existentialism from Dostoevsky to Sartre,Walter Arnold Kaufmann,1956,Existentialism,philosophy,A philosophical work by Walter Arnold Kaufmann (1956).,,,open_library
Existentialism,Unknown Author,1975,Existentialism,philosophy,A philosophical work by Unknown Author (1975).,,,open_library
L' existentialisme est un humanisme,Jean-Paul Sartre,1946,Existentialism,french language materials,A philosophical work by Jean-Paul Sartre (1946).,,,open_library
Justice as Fairness,John Rawls,1958,Political Philosophy,justice; ethics; justice (philosophy); social justice; justice sociale,A philosophical work by John Rawls (1958).,,,open_library
John Rawls Justice As Fairness . Begrenzte Lehre Oder Universelle Moraltheorie der Gerechtigkeit?,Julius Bonaventura,2019,Political Philosophy,philosophy,A philosophical work by Julius Bonaventura (2019).,,,open_library
Understanding John Rawls,Hercules Bantas,2010,Political Philosophy,philosophy,A philosophical work by Hercules Bantas (2010).,,,open_library
Political liberalism,John Rawls,1993,Political Philosophy,justice; justice sociale; justice distributive,A philosophical work by John Rawls (1993).,,,open_library
John Rawls and Environmental Justice,John Töns,2021,Political Philosophy,"environmental justice; social justice; nature / general; nature / ecology; theory of justice (rawls, john)",A philosophical work by John Töns (2021).,,,open_library
Symposium: John Rawl's A theory of justice.,Unknown Author,1973,Political Philosophy,philosophy,A philosophical work by Unknown Author (1973).,,,open_library
Human nature,Thomas Hobbes,1684,Political Philosophy,ethics; droit naturel,A philosophical work by Thomas Hobbes (1684).,,,open_library
The English works of Thomas Hobbes of Malmesbury,Thomas Hobbes,1839,Political Philosophy,philosophy,A philosophical work by Thomas Hobbes (1839).,,,open_library
De cive,Thomas Hobbes,1949,Political Philosophy,consciousness; psychological models,A philosophical work by Thomas Hobbes (1949).,,,open_library
Leviatán,Thomas Hobbes,2018,Political Philosophy,philosophy,A philosophical work by Thomas Hobbes (2018).,,,open_library
Essay concerning human understanding,John Locke,1689,Political Philosophy,"theory of knowledge; knowledge; knowledge, theory of",A philosophical work by John Locke (1689).,,,open_library
The works of John Locke,John Locke,1714,Political Philosophy,philosophy,A philosophical work by John Locke (1714).,,,open_library
Some thoughts concerning education,John Locke,1693,Political Philosophy,"theory of knowledge; reasoning; knowledge, theory of",A philosophical work by John Locke (1693).,,,open_library
John Locke,Maurice Cranston,1957,Political Philosophy,philosophy,A philosophical work by Maurice Cranston (1957).,,,open_library
Essay concerning the true original extent and end of civil government,John Locke,1691,Political Philosophy,philosophy,A philosophical work by John Locke (1691).,,,open_library
Two Treatises on Government,John Locke,1689,Political Philosophy,politics,A philosophical work by John Locke (1689).,,,open_library
The conduct of the understanding,John Locke,1781,Political Philosophy,"reasoning; theory of knowledge; knowledge, theory of.; knowledge",A philosophical work by John Locke (1781).,,,open_library
The Second Treatise on Civil Government (Great Books in Philosophy),John Locke,1956,Political Philosophy,philosophy,A philosophical work by John Locke (1956).,,,open_library
Philosophical essays concerning human understanding,David Hume,1900,Empiricism,"theory of knowledge; ethics; knowledge, theory of",A philosophical work by David Hume (1900).,,,open_library
Dialogues Concerning Natural Religion,David Hume,1779,Empiricism,théologie naturelle,A philosophical work by David Hume (1779).,,,open_library
A treatise of human nature,David Hume,1739,Empiricism,"theory of knowledge; ethics; knowledge; knowledge, theory of; reason",A philosophical work by David Hume (1739).,,,open_library
Treatise of Human Nature [by D. Hume],David Hume,2015,Empiricism,philosophy,A philosophical work by David Hume (2015).,,,open_library
The history of England,David Hume,1754,Empiricism,philosophy,A philosophical work by David Hume (1754).,,,open_library
The life of David Hume,Ernest Campbell Mossner,1954,Empiricism,philosophy,A philosophical work by Ernest Campbell Mossner (1954).,,,open_library
An enquiry concerning the principles of morals,David Hume,1751,Empiricism,ethics; humanistic ethics,A philosophical work by David Hume (1751).,,,open_library
The essential David Hume,David Hume,1969,Empiricism,philosophy,A philosophical work by David Hume (1969).,,,open_library
Discours de la méthode,René Descartes,1644,Rationalism,theory of knowledge; metaphysics; french language,A philosophical work by René Descartes (1644).,,,open_library
Meditationes de prima philosophia,René Descartes,1642,Rationalism,"god; knowledge, theory of; metaphysics; ontological proof; proof, ontological",A philosophical work by René Descartes (1642).,,,open_library
The great conversation,Norman Melchert,1991,Rationalism,philosophy,A philosophical work by Norman Melchert (1991).,,,open_library
Three reformers,Jacques Maritain,1925,Rationalism,godsdienst,A philosophical work by Jacques Maritain (1925).,,,open_library
Descartes,René Descartes,1909,Rationalism,ethics,A philosophical work by René Descartes (1909).,,,open_library
Principia philosophiae,René Descartes,1644,Rationalism,philosophy,A philosophical work by René Descartes (1644).,,,open_library
Descartes' error,Antonio R. Damasio,1994,Rationalism,physiological aspects; physiological aspects of emotions; physiological aspects of reason; reason,A philosophical work by Antonio R. Damasio (1994).,,,open_library
Descartes' Dream,Philip J. Davis,1986,Rationalism,philosophy,A philosophical work by Philip J. Davis (1986).,,,open_library
Ethica,Benedictus de Spinoza,1883,Rationalism,"god; ethics; modern ethics; ethics, modern; knowledge, theory of",A philosophical work by Benedictus de Spinoza (1883).,,,open_library
Spinoza's Ethics,Beth Lord,2010,Rationalism,ethics,A philosophical work by Beth Lord (2010).,,,open_library
Spinoza's Ethics,Michael LeBuffe,2023,Rationalism,philosophy,A philosophical work by Michael LeBuffe (2023).,,,open_library
Spinoza's 'Ethics',Steven Nadler,2006,Rationalism,ethics,A philosophical work by Steven Nadler (2006).,,,open_library
Spinoza's 'ethics',J. Thomas Cook,2007,Rationalism,ethics,A philosophical work by J. Thomas Cook (2007).,,,open_library
Spinoza's 'Ethics',Yitzhak Y. Melamed,2017,Rationalism,ethics,A philosophical work by Yitzhak Y. Melamed (2017).,,,open_library
Ethics (Penguin Classics),Benedictus de Spinoza,2005,Rationalism,"ethics; modern ethics; ethics, history; ethics, modern, 17th century",A philosophical work by Benedictus de Spinoza (2005).,,,open_library
Spinoza's 'Ethics',Campbell,2002,Rationalism,philosophy,A philosophical work by Campbell (2002).,,,open_library
Philosophische Untersuchungen,Ludwig Wittgenstein,1953,Analytic Philosophy,"language and languages; symbolic and mathematical logic; ordinary language philosophy; private language problem; language and languages, philosophy",A philosophical work by Ludwig Wittgenstein (1953).,,,open_library
Ludwig Wittgenstein,Ray Monk,1990,Analytic Philosophy,philosophy,A philosophical work by Ray Monk (1990).,,,open_library
Wittgensteins Neffe,Thomas Bernhard,1983,Analytic Philosophy,philosophy,A philosophical work by Thomas Bernhard (1983).,,,open_library
Wittgenstein's mistress,David Markson,1988,Analytic Philosophy,philosophy,A philosophical work by David Markson (1988).,,,open_library
Vermischte Bemerkungen,Ludwig Wittgenstein,1977,Analytic Philosophy,philosophy,A philosophical work by Ludwig Wittgenstein (1977).,,,open_library
Über Gewissheit,Ludwig Wittgenstein,1969,Analytic Philosophy,philosophy,A philosophical work by Ludwig Wittgenstein (1969).,,,open_library
Bemerkungen über die Grundlagen der Mathematik,Ludwig Wittgenstein,1956,Analytic Philosophy,logic,A philosophical work by Ludwig Wittgenstein (1956).,,,open_library
Autobiography,Bertrand Russell,1944,Analytic Philosophy,philosophy,A philosophical work by Bertrand Russell (1944).,,,open_library
A History of Western Philosophy,Bertrand Russell,1945,Analytic Philosophy,philosophy,A philosophical work by Bertrand Russell (1945).,,,open_library
The Problems of Philosophy,Bertrand Russell,1900,Analytic Philosophy,"theory of knowledge; metaphysics; knowledge, theory of",A philosophical work by Bertrand Russell (1900).,,,open_library
Why I am not a Christian,Bertrand Russell,1927,Analytic Philosophy,godsdienstfilosofie,A philosophical work by Bertrand Russell (1927).,,,open_library
Authority and the Individual,Bertrand Russell,1949,Analytic Philosophy,philosophy,A philosophical work by Bertrand Russell (1949).,,,open_library
The ABC of atoms,Bertrand Russell,1923,Analytic Philosophy,philosophy,A philosophical work by Bertrand Russell (1923).,,,open_library
Philosophical essays,Bertrand Russell,1910,Analytic Philosophy,logic,A philosophical work by Bertrand Russell (1910).,,,open_library
The conquest of happiness,Bertrand Russell,1930,Analytic Philosophy,philosophy,A philosophical work by Bertrand Russell (1930).,,,open_library
Histoire de la sexualité,Michel Foucault,1976,Post-structuralism,sexual ethics,A philosophical work by Michel Foucault (1976).,,,open_library
Discipline and Punish,Michel Foucault,1975,Post-structuralism,philosophy,A philosophical work by Michel Foucault (1975).,,,open_library
"L'histoire de la sexualité, t.1",Michel Foucault,1976,Post-structuralism,philosophy,A philosophical work by Michel Foucault (1976).,,,open_library
Michel Foucault,Didier Eribon,1989,Post-structuralism,philosophy,A philosophical work by Didier Eribon (1989).,,,open_library
Folie et déraison; histoire de la folie,Michel Foucault,1965,Post-structuralism,philosophy,A philosophical work by Michel Foucault (1965).,,,open_library
Naissance de la clinique,Michel Foucault,1963,Post-structuralism,philosophy,A philosophical work by Michel Foucault (1963).,,,open_library
Mots et les choses,Michel Foucault,1970,Post-structuralism,philosophy,A philosophical work by Michel Foucault (1970).,,,open_library
"Histoire de la sexualité, tome 2",Michel Foucault,1984,Post-structuralism,philosophy,A philosophical work by Michel Foucault (1984).,,,open_library
Le Deuxième Sexe,Simone de Beauvoir,1949,Existentialism,philosophy,A philosophical work by Simone de Beauvoir (1949).,,,open_library
Mémoires d'une jeune fille rangée,Simone de Beauvoir,1900,Existentialism,philosophy,A philosophical work by Simone de Beauvoir (1900).,,,open_library
Une mort tres douce,Simone de Beauvoir,1964,Existentialism,french language,A philosophical work by Simone de Beauvoir (1964).,,,open_library
Les Mandarins,Simone de Beauvoir,1954,Existentialism,french language materials,A philosophical work by Simone de Beauvoir (1954).,,,open_library
The Woman Destroyed,Simone de Beauvoir,1967,Existentialism,french language materials,A philosophical work by Simone de Beauvoir (1967).,,,open_library
Pour une morale de l'ambiguite ,Simone de Beauvoir,1947,Existentialism,ethics; ethics & moral philosophy - theoretical,A philosophical work by Simone de Beauvoir (1947).,,,open_library
Tous les hommes sont mortels,Simone de Beauvoir,1946,Existentialism,philosophy,A philosophical work by Simone de Beauvoir (1946).,,,open_library
Les Belles Images,Simone de Beauvoir,1966,Existentialism,russian language books,A philosophical work by Simone de Beauvoir (1966).,,,open_library
Lun yu,Confucius,1750,Eastern Philosophy,ethics; chinese ethics,A philosophical work by Confucius (1750).,,,open_library
Lunyu,Confucius,1904,Eastern Philosophy,ethics; chinese ethics; confucian ethics,A philosophical work by Confucius (1904).,,,open_library
Confucius Analects,Confucius,2003,Eastern Philosophy,philosophy,A philosophical work by Confucius (2003).,,,open_library
Lun yü,Confucius,1900,Eastern Philosophy,philosophy,A philosophical work by Confucius (1900).,,,open_library
Confucian analects,Confucius,1895,Eastern Philosophy,ethics,A philosophical work by Confucius (1895).,,,open_library
The Analects,Confucius,1979,Eastern Philosophy,philosophy,A philosophical work by Confucius (1979).,,,open_library
Confucius Analects,Len Losik,2016,Eastern Philosophy,philosophy,A philosophical work by Len Losik (2016).,,,open_library
